product_id,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level,safety_stock,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date,last_purchase_date_year,last_purchase_date_month
P001,Hydraulic Pump Hp-300,Hydraulic,Excavator,Cat,Cat 320D,18950,24500,29.2,28,38.5,40X25X25,Steel,12,15,10,40,21,High,Medium,Piece,18500,2019-03-15,2019,3
P002,Engine Oil Filter Of-90,Filters,Loader,Jcb,Jcb 3Dx,450,720,37.3,18,0.4,10X8X8,Paper,6,80,40,200,7,Medium,High,Piece,430,2019-07-22,2019,7
P003,Air Filter Af-120,Filters,Excavator,Komatsu,Komatsu Pc210,820,1250,52.4,18,0.8,18X12X12,Synthetic,6,60,30,150,7,Medium,High,Piece,800,2020-01-10,2020,1
P004,Track Chain Tc-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180X40X35,Steel,18,8,4,20,30,High,Low,Set,32000,2020-06-18,2020,6
P005,Fuel Injector Fi-220,Engine,Excavator,Tata Hitachi,Tata Hitachi Ex 200,6350,8450,33.0,28,1.2,20X12X12,Alloy,12,30,15,80,18,High,Medium,Piece,6200,2020-11-05,2020,11
P006,Alternator Alt-500,Electrical,Loader,Cat,Cat 950H,8650,11200,29.5,28,9.5,30X20X20,Alloy,12,12,6,30,20,High,Medium,Piece,8400,2021-02-14,2021,2
P007,Hydraulic Hose Hh-60,Hydraulic,Crane,Jcb,Jcb 160,980,1450,48.0,18,1.1,90X4X4,Rubber,6,70,35,200,10,Medium,High,Piece,950,2021-05-27,2021,5
P008,Bucket Tooth Bt-10,Attachments,Excavator,Komatsu,Komatsu Pc130,340,580,70.6,18,0.3,12X6X4,Steel,6,120,60,300,12,Low,High,Piece,320,2021-08-09,2021,8
P009,Starter Motor Sm-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32X18X18,Alloy,12,10,5,25,22,High,Medium,Piece,11000,2021-11-30,2021,11
P010,Turbocharger Tb-900,Engine,Excavator,Cat,Cat 336D,28900,34900,20.8,28,16.5,40X25X25,Alloy,18,6,3,15,28,High,Medium,Piece,28000,2022-03-12,2022,3
P011,Hydraulic Cylinder Hc-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi Ex 210,21500,27600,28.4,28,42.0,120X18X18,Steel,12,10,5,25,24,High,Medium,Piece,21000,2022-06-25,2022,6
P012,Brake Pad Bp-40,Brakes,Loader,Jcb,Jcb 430Zx,1800,2450,36.1,28,3.2,20X12X10,Composite,6,40,20,120,10,Medium,Medium,Set,1750,2022-09-08,2022,9
P013,Seal Kit Sk-15,Seals,Excavator,Cat,Cat 320D,950,1450,52.6,18,0.6,15X10X6,Rubber,6,80,40,200,9,Medium,High,Set,920,2022-12-19,2022,12
P014,Transmission Assembly Ta-800,Transmission,Bulldozer,Volvo,Volvo D8,68500,83500,21.8,28,260.0,190X60X55,Steel,24,4,2,12,35,High,Low,Set,67000,2023-03-05,2023,3
P015,Engine Block Eb-600,Engine,Excavator,Komatsu,Komatsu Pc300,95500,119000,24.6,28,320.0,160X70X65,Cast Iron,24,3,2,8,40,High,Low,Piece,94000,2023-06-17,2023,6
P016,Radiator Rd-250,Cooling,Loader,Jcb,Jcb 3Dx,7800,10200,30.8,18,18.0,90X40X20,Copper,12,20,10,60,16,Medium,Medium,Piece,7600,2023-09-28,2023,9
P017,Fan Belt Fb-30,Belts,Excavator,Tata Hitachi,Tata Hitachi Ex 110,320,520,62.5,18,0.25,80X3X3,Rubber,6,50,25,150,5,Medium,High,Piece,310,2023-12-11,2023,12
P018,Wheel Rim Wr-24,Undercarriage,Bulldozer,Cat,Cat D6R,8200,11300,37.8,28,24.0,70X25X25,Steel,12,12,6,30,20,High,Medium,Piece,8000,2024-02-20,2024,2
P019,Swing Motor Swm-350,Hydraulic,Excavator,Volvo,Volvo Ec210,31200,39800,27.6,28,36.0,55X25X25,Steel,12,6,3,15,24,High,Medium,Piece,30500,2024-05-03,2024,5
P020,Pivot Pin Pp-12,Pins & Bushes,Excavator,Jcb,Jcb 3Dx,750,1150,53.3,18,0.9,18X6X6,Steel,6,90,45,250,8,Medium,High,Piece,720,2024-07-19,2024,7
P021,Boom Cylinder Bc-400,Hydraulic,Excavator,Komatsu,Komatsu Pc210,35600,46200,29.8,28,48.0,130X18X18,Steel,12,5,3,20,26,High,Medium,Piece,35000,2024-09-30,2024,9
P022,Control Valve Cv-75,Hydraulic,Excavator,Cat,Cat 320D,12800,16900,32.0,28,7.8,35X25X20,Steel,12,10,5,30,18,High,Medium,Piece,12500,2024-11-22,2024,11
P023,Idler Wheel Iw-55,Undercarriage,Bulldozer,Volvo,Volvo D6,9200,12950,40.8,28,21.0,60X25X25,Steel,12,6,3,18,20,High,Medium,Piece,9000,2025-01-15,2025,1
P024,Track Roller Tr-60,Undercarriage,Bulldozer,Tata Hitachi,Tata Hitachi Ex 200,7400,10300,39.2,28,19.5,55X22X22,Steel,12,8,4,22,22,High,Medium,Piece,7200,2025-03-08,2025,3
P025,Cabin Glass Cg-20,Cabin,Excavator,Jcb,Jcb 3Dx,5600,7850,40.2,18,8.0,120X5X2,Glass,6,12,6,40,14,Medium,Low,Piece,5400,2025-04-27,2025,4
P026,Grease Cartridge Gc-5,Lubricants,All,Generic,All Models,180,310,72.2,18,0.45,25X6X6,Synthetic,3,200,100,500,4,Low,High,Cartridge,170,2020-04-02,2020,4
P027,O-Ring Set Or-50,Seals,All,Generic,All Models,260,480,84.6,18,0.2,8X8X4,Rubber,3,150,80,400,5,Low,High,Set,250,2021-09-14,2021,9
P028,Light Assembly La-18,Electrical,Loader,Generic,Jcb 3Dx,1450,2250,55.2,18,1.4,22X16X14,Plastic,6,40,20,100,9,Medium,Medium,Piece,1380,2022-02-18,2022,2
P029,Pressure Sensor Ps-90,Sensors,Excavator,Cat,Cat 320D,2750,3950,43.6,18,0.6,10X8X6,Steel,6,25,12,60,8,Medium,Medium,Piece,2650,2023-01-09,2023,1
P030,Fuel Pump Fp-350,Engine,Excavator,Volvo,Volvo Ec210,16400,21900,33.5,28,6.8,30X18X18,Alloy,12,10,5,25,18,High,Medium,Piece,16000,2024-08-21,2024,8
